desc,number,voltage,source,srcBreak,srcName,mounting,siteNo,siteName,_predicate,geometry,latlon,lon,lat,size
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,310037,WITHYCOMBE RALEIGH 33/11KV S/STN,INTERSECTS,POINT (301528.688 82338.02500000001),"(-3.3937167787775935, 50.63239359957486)",-3.3937167787775935,50.63239359957486,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,310038,EXMOUTH WORKS 33/11KV S/STN,INTERSECTS,POINT (300672.326 81362.848),"(-3.4055546928709917, 50.62347385662126)",-3.4055546928709917,50.62347385662126,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,310038,EXMOUTH WORKS 33/11KV S/STN,INTERSECTS,POINT (300660.549 81355.73),"(-3.405722404820991, 50.623408879216505)",-3.405722404820991,50.623408879216505,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,310046,SIDMOUTH TOWN 33/11KV S/STN,INTERSECTS,POINT (312604.733 88408.277),"(-3.2385830483427096, 50.6887350083979)",-3.2385830483427096,50.6887350083979,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,310046,SIDMOUTH TOWN 33/11KV S/STN,INTERSECTS,POINT (312604.717 88386.109),"(-3.2385778386956225, 50.68853721485223)",-3.2385778386956225,50.68853721485223,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,900023,GREAT HALE 33KV/11KV S/STN,INTERSECTS,POINT (514640.264 342590.293),"(-0.2944435206770222, 52.96842285358792)",-0.2944435206770222,52.96842285358792,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,905663,BURTON PEDWARDINE SOLAR PARK 1,INTERSECTS,POINT (510791.381 343418.896),"(-0.3514461630993055, 52.97667099075885)",-0.3514461630993055,52.97667099075885,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,906124,WHITECROSS LANE SOLAR PARK BURTON PEDWAR,INTERSECTS,POINT (510476.456 343452.693),"(-0.35612372752616017, 52.97704143258273)",-0.35612372752616017,52.97704143258273,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,900039,TATTERSHALL 33/11KV S/STN,INTERSECTS,POINT (519066.069 355830.873),"(-0.22369242936274808, 53.0864183589355)",-0.22369242936274808,53.0864183589355,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,900039,TATTERSHALL 33/11KV S/STN,INTERSECTS,POINT (519052.979 355824.121),"(-0.22390357142745818, 53.08636756895671)",-0.22390357142745818,53.08636756895671,10
