Unnamed: 0.1,Unnamed: 0,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,lonlat,In Use,lon,lat,bins2,bins3,Speed10m,Marker,Speed25m,speedCat
728,728,N00191W,3542,25/11/2005,Npower Renewables,Park Head Farm,Wind Onshore,,,7.8,,,,,,6.0,,,Planning Permission Refused,Application Refused,,,"Park Head Farm
Silloth
Carlisle",Cumbria,North West,England,,313485.0,551675.0,Allerdale Borough Council,2/2004/0841,,,,,,25/06/2004,,07/10/2004,,,,,,,,,,,,,"(-3.349046938824812, 54.852367318902935)",Refused,-3.349046938824812,54.852367318902935,10,Wind Onshore,1,y-up,1,6 - 6.5
729,729,N00274W,3543,13/09/2011,Npower Renewables,Hellrigg Wind Farm,Wind Onshore,,,7.8,,,,,1.3,6.0,,,Revised,Revised,3002.0,,"Park Head Farm
Silloth
Carlisle",Cumbria,North West,England,,313535.0,551725.0,Allerdale Borough Council,2/2004/0843,,,,,,25/06/2004,,07/10/2004,,,,,,,,,,,,,"(-3.348283386263239, 54.852825161843576)",Refused,-3.348283386263239,54.852825161843576,10,Wind Onshore,1,y-up,1,6 - 6.5
730,730,N00275W,3544,09/05/2006,Npower Renewables,Hill of Snowy Slack,Wind Onshore,,,22.0,,,,,2.0,11.0,,,Planning Application Withdrawn,Application Withdrawn,,,"At Kil Drummuie
Mr Lumbersdone",Grampian,Scotland,Scotland,,345374.0,818784.0,Aberdeenshire Council,M/APP/2004/4603,,,,,,,09/05/2006,,,,,,,,,,,,,,"(-2.907092215644001, 57.25645425088343)",Withdrawn,-2.907092215644001,57.25645425088343,10,Wind Onshore,1,y-up,1,Under 5.5
731,731,N00413W,3545,04/01/2010,Npower Renewables,Alt Dearg,Wind Onshore,,,42.0,,,,,2.8,15.0,,,Planning Permission Refused,Application Refused,,,"Alt Dearg Wind Farm
By Stronachullin Farm
Ardrishaig",Strathclyde,Scotland,Scotland,,183256.0,678053.0,Argyll and Bute Council,06/01158/DET,,,,,,01/06/2006,,14/11/2007,,,,,,,,,,,,,"(-5.472725995330112, 55.94648578127971)",Refused,-5.472725995330112,55.94648578127971,10,Wind Onshore,1,y-up,1,7.5 - 8
732,732,N00285W,3546,26/08/2005,Npower Renewables,Beech Tree Farm Wind Turbines,Wind Onshore,,,4.9,,,,,,,,,Planning Application Withdrawn,Application Withdrawn,,,"Beech Tree Farm
Goveton
Kingsbridge
TQ7 2DT
(Land between Goveton and A381)",Devon,South West,England,,275235.0,47661.0,South Hams District Council,819/2140/04/F,,,,,,27/10/2004,04/12/2006,,,,,,,,,,,,,,"(-3.7537469804494226, 50.315649298709765)",Withdrawn,-3.753746980449423,50.315649298709765,10,Wind Onshore,1,y-up,1,7 - 7.5
733,733,A0254,3547,12/09/2011,Nuon UK,Draughton Maidwell Wind Farm,Wind Onshore,,,21.0,,,,,1.3,7.0,,,Appeal Refused,Application Refused,,,"Land to the north of Draughton Harrington, Draughton, Northamptonshire",Northamptonshire,East Midlands,England,,477012.0,278134.0,Daventry District Council,DA/2009/0168 ,,,,,,01/04/2009,,27/01/2010,,,20/09/2010,,,,,,,,,,"(-0.8696333343581842, 52.39581710576807)",Refused,-0.8696333343581842,52.39581710576807,10,Wind Onshore,1,y-up,1,6 - 6.5
734,734,EN00412,3548,07/08/2012,Orkney Sustainable Energy,Methlick Farmers Wind Energy Project,Wind Onshore,,,12.0,,,,,2.0,6.0,,,Operational,Operational,,,"Methlick, Aberdeenshire",Grampian,Scotland,Scotland,,385500.0,837500.0,Aberdeenshire Council,Various,,,,,,01/10/2006,,,,,,,01/07/2007,,,,,01/03/2011,01/12/2011,,"(-2.243110818042024, 57.42761498094317)",Operational,-2.243110818042024,57.42761498094317,10,Wind Onshore,1,y-up,1,6.5 - 7
735,735,EN00112,3549,06/07/2010,Pennant Walters,Hirwaun Wind Farm,Wind Onshore,,,24.0,,,,,2.0,12.0,,,Appeal Refused,Application Refused,,,South of Hirwaun,Mid Glamorgan,Wales,Wales,,295787.0,202855.0,Rhondda Cynon Taff County Borough Council,06/1415,,,,,,14/07/2006,,12/10/2007,,,27/11/2008,,,,,,,,,,"(-3.509847324117712, 51.71471156993588)",Refused,-3.509847324117712,51.71471156993588,10,Wind Onshore,1,y-up,1,Under 5.5
736,736,C1032,3550,28/02/2017,PNE Wind UK Ltd (Brookfield),Shennanton Wind Farm,Wind Onshore,,,30.0,,0.9,,,2.5,12.0,100.0,,Appeal Refused,Application Refused,,,"Shennanton Wind Farm, Kirkcowan. Newton Stewart",Dumfries and Galloway,Scotland,Scotland,DG8 0EG,232665.0,564874.0,Dumfries and Galloway Council,15/P/1/0031,PPA-170-2109,,,,,16/02/2015,,,12/02/2015,,02/02/2017,,,,,,,,,,"(-4.614432396611034, 54.95035694007806)",Not Yet,-4.614432396611034,54.95035694007806,10,Wind Onshore,1,y-up,1,5.5 - 6
737,737,IF1345,3551,18/09/2013,PNE Wind UK Ltd (Brookfield),Hill of Braco,Wind Onshore,,,20.0,,,,,2.5,8.0,,,Planning Application Withdrawn,Application Withdrawn,,,"Hatton
 Peterhead
 AB42 0RR",Grampian,Scotland,Scotland,,403893.0,840984.0,Aberdeenshire Council,APP/2013/0505,,,,,,28/02/2013,27/08/2013,,,,,,,,,,,,,,"(-1.9367677762142674, 57.45912953136152)",Withdrawn,-1.9367677762142677,57.45912953136152,10,Wind Onshore,1,y-up,1,8 - 9
